"Kun Wang and
Xiaoxuan Hu and
Huining Li and
Peng Li and
Qi Wang and
Yuankui Cao",A Survey on Energy Internet Communications for Sustainability,T-SUSC,"2017, 2(3)",5
"Kun Wang and
Yihui Wang and
Qi Wang and
Yuankui Cao",An SDN-Based Architecture for Next-Generation Wireless Networks,IEEE Wireless Commun.,"2017, 24(1)",3
"Lin Gu and
Qi Wang and
Ahmed Barnawi and
Yuankui Cao and
Ivan Stojmenovic","Optimal Task Placement with QoS Constraints in Geo-Distributed Data
Centers Using {DVFS}",IEEE Trans. Computers,"2015, 64(7)",2
"Lin Gu and
Qi Wang and
Peng Li and
Yuankui Cao","Cost Minimization for Big Data Processing in Geo-Distributed Data
Centers",IEEE Trans. Emerging Topics Comput.,"2014, 2(3)",2
"Lin Gu and
Qi Wang and
Yuankui Cao and
Ahmed Barnawi and
Yong Xiang","Cost Efficient Resource Management in Fog Computing Supported Medical
Cyber-Physical System",IEEE Trans. Emerging Topics Comput.,"2017, 5(1)",2
"Lin Gu and
Qi Wang and
Yuankui Cao and
Yong Xiang and
Jiankun Hu","A General Communication Cost Optimization Framework for Big Data Stream
Processing in Geo-Distributed Data Centers",IEEE Trans. Computers,"2016, 65(1)",2
"Qi Wang and
Jie Zhang and
Yuankui Cao and
Lin Gu and
Kun Wang",Take Renewable Energy into {CRAN} toward Green Wireless Access Networks,IEEE Network,"2017, 31(4)",1
"Qi Wang and
Lin Gu and
Lu Lian and
Yuankui Cao and
Hong Yao and
Jiankun Hu","On Cost-Efficient Sensor Placement for Contaminant Detection in Water
Distribution Systems",IEEE Trans. Industrial Informatics,"2016, 12(6)",1
"Qi Wang and
Lin Gu and
Yuankui Cao and
Zixue Cheng and
Shui Yu","Joint Optimization of Task Scheduling and Image Placement in Fog Computing
Supported Software-Defined Embedded System",IEEE Trans. Computers,"2016, 65(12)",1
"Qi Wang and
Peng Li and
Yuankui Cao and
Toshiaki Miyazaki and
Jiankun Hu and
Yong Xiang",Energy Minimization in Multi-Task Software-Defined Sensor Networks,IEEE Trans. Computers,"2015, 64(11)",1
"Qi Wang and
Yuankui Cao and
Ahmed Barnawi and
Shui Yu and
Ivan Stojmenovic","An Improved Stochastic Modeling of Opportunistic Routing in Vehicular
{CPS}",IEEE Trans. Computers,"2015, 64(7)",1
"Qi Wang and
Yuankui Cao and
Bo Li",Editorial for Special Issue on Social Computing,MONET,"2017, 22(2)",1
"Qi Wang and
Yuankui Cao and
Huawei Huang and
Shui Yu and
Victor C. M. Leung","Optimal {VM} placement in data centres with architectural and resource
constraints",IJAACS,"2015, 8(4)",1
"Qi Wang and
Yuankui Cao and
Jiankun Hu",Reliable Bulk-Data Dissemination in Delay Tolerant Networks,IEEE Trans. Parallel Distrib. Syst.,"2014, 25(8)",1
"Qi Wang and
Yuankui Cao and
Victor C. M. Leung and
Jiankun Hu",The Exploration of Network Coding in {IEEE} 802.15.4 Networks,Int. J. Digital Multimedia Broadcasting,"2011, 2011()",1
"Qi Wang and
Yuankui Cao and
Yong Xiang and
Hai Jin",On the Throughput of Two-Way Relay Networks Using Network Coding,IEEE Trans. Parallel Distrib. Syst.,"2014, 25(1)",1
"Qi Wang and
Yuankui Cao and
Zixue Cheng",The Web of Things: {A} Survey (Invited Paper),JCM,"2011, 6(6)",1
"Qi Wang and Zeger, Scott L.",Longitudinal data analysis using generalized linear models,Biometrika,"1986, 73(1)",1
"Tianqi Mao and
Zhaocheng Wang and
Qi Wang and
Sheng Chen and
Lajos Hanzo",Dual-Mode Index Modulation Aided {OFDM},IEEE Access,"2017, 5()",3
Tianqi Mao and Qi Wang and Jinguo Quan and Zhaocheng Wang,Zero-Padded Orthogonal Frequency Division Multiplexing with Index Modulation Using Multiple Constellation Alphabets,IEEE Access,"2017, 5()",2
"Wei{-}Lun Chang and
Qi Wang and
Rung{-}Ching Chen and
Yuankui Cao","An artificial bee colony algorithm for data collection path planning
in sparse wireless sensor networks",Int. J. Machine Learning \& Cybernetics,"2015, 6(3)",2
"Yu Zhang and
Lin Gu and
Xiaofei Liao and
Hai Jin and
Qi Wang and
Bing Bing Zhou",{FRANK:} {A} Fast Node Ranking Approach in Large-Scale Networks,IEEE Network,"2017, 31(1)",5
"Yuankui Cao and
Qi Wang and
Yang Xiang",Chameleon Hashing for Secure and Privacy-Preserving Vehicular Communications,IEEE Trans. Parallel Distrib. Syst.,"2014, 25(11)",2
"Zhuo Li and
Qi Wang and
Yuankui Cao and
Sanglu Lu and
Daoxu Chen and
Weihua Zhuang","On the Throughput of Feedbackless Segmented Network Coding in Delay
Tolerant Networks",IEEE Wireless Commun. Letters,"2012, 1(2)",2
"Zhuo Li and
Yuankui Cao and
Qi Wang and
Ahmed Barnawi and
Ivan Stojmenovic",Joint Resource Allocation for Max-Min Throughput in Multicell Networks,IEEE Trans. Vehicular Technology,"2014, 63(9)",3
